,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1620,A,B,-,A,A,A,-,A,-,-,B,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,B,-,A,A,-,B,-,B,-,A,-,-,-,A,B,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1303,A,B,-,A,A,A,-,A,-,-,B,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,B,-,A,A,-,B,-,B,-,A,-,-,-,A,B,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1616,A,B,-,A,A,A,-,A,-,-,B,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,-,B,A,A,-,-,A,-,-,A,B,-,-,B,A,-,-,B,A,-,B,-,A,-,-,-,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,-,-,A,A,-,B,-,B,-,A,-,-,-,A,-,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1331,A,B,-,A,A,A,-,A,-,-,B,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,A,-,-,-,A,B,-,-,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,B,B,-,B,A,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,A,-,A,-,-,B,-,A,-,-,-
A1325,A,B,-,A,A,A,-,A,-,-,B,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,B,B,-,B,A,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
A1327,A,B,-,A,A,A,-,A,-,-,B,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,B,B,-,B,A,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
A1329,A,B,-,A,A,A,-,A,-,-,B,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,B,B,-,B,A,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
A1330,A,B,-,A,A,A,-,A,-,-,B,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,B,B,-,B,A,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
A1332,A,B,-,A,A,A,-,A,-,-,B,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,A,-,-,A,-,-,A,B,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,B,A,-,B,-,-,A,B,-,-,B,A,-,A,A,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,A,-,-,B,B,-,B,A,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
A1409,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,A,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,A,A,-,B,-,-,A,A,-,-,B,B,-,A,B,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,B,A,-,-,-,-,B,B,A,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,B,-,A,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,A,-,A,-,-,-
A1408,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,B,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,A,A,-,B,-,-,A,A,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,A,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,A,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,A,-,A,-,-,-
A2407,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,B,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,A,A,-,B,-,-,A,A,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,B,A,-,-,-,-,B,B,A,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,B,-,-,-,-,-,-,A,-,-,B,-,A,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,A,-,B,-,-,-
A1405,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,B,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,-,A,-,A,-,-,B,-,-,-,A,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,A,B,-,-,-,-,-,A,-,-,-,A,-,-,-,-,-,-,B,-,B,-,-,-,-,-,A,B,-,A,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-
A1404,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,B,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,A,A,-,B,-,-,A,A,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,B,B,-,-,-,-,-,A,-,-,-,A,-,-,-,-,-,-,B,-,B,-,A,-,-,-,A,B,-,-,-,A,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,B,-,-,B,B,-,-,A,-,-,-,-,B,A,-,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,A,-,-,B,-,A,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,A,-,B,-,-,-
A1402,A,B,-,A,-,A,-,A,-,-,B,-,B,-,B,-,A,-,-,B,-,-,-,-,-,-,-,-,B,-,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,A,A,-,B,-,-,-,A,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,-,B,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,-,-,-,-,A,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-
A1403,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,B,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,-,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,B,-,A,A,A,-,A,A,-,-,-,-,A,A,-,-,B,B,-,A,-,-,B,-,B,-,A,-,-,-,A,B,-,-,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,-,B,-,A,-,-,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,-,-,A,A,-,-,-,-,-,-,A,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,B,-,-,A,-,-,A,-,B,-,-,-
A1024,A,B,-,A,A,A,-,A,-,-,B,-,B,-,B,-,A,-,A,B,-,-,-,B,-,-,-,-,B,B,A,B,-,-,B,-,-,A,B,-,-,B,A,A,-,A,B,-,A,-,A,B,-,A,B,-,-,-,-,-,A,A,A,-,A,A,-,B,-,-,A,A,-,-,B,B,-,B,B,-,B,-,B,-,B,-,-,-,A,B,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,A,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,A,-,-,A,-,A,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,A,-,B,-,-,-
ad147 lg 1 SLOW=A,A,B,-,-,A,A,-,A,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,B,A,A,-,-,B,-,-,A,A,-,-,B,A,A,-,A,B,-,A,-,A,B,-,A,B,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,A,A,-,-,B,B,-,B,B,-,A,-,B,-,B,-,-,-,A,A,-,A,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,B,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,B,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,A,-,B,-,-,-
A7384,A,B,-,B,B,A,-,B,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,B,-,-,B,A,A,-,A,B,-,A,-,A,B,-,A,B,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,A,A,-,-,B,B,-,B,B,-,B,-,B,-,B,-,-,-,A,B,-,B,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,B,-,-,-,-,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,A,-,B,-,-,-
A7380,A,B,-,B,B,A,-,B,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,B,-,-,B,A,A,-,A,B,-,A,-,A,B,-,A,B,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,A,A,-,-,B,B,-,B,B,-,B,-,B,-,B,-,-,-,A,B,-,B,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,B,-,-,-,-,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,A,-,B,-,-,-
A7302,A,B,-,B,B,A,-,A,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,B,B,A,-,-,A,-,-,A,B,-,-,B,A,A,-,A,B,-,B,-,A,B,-,A,B,-,-,-,B,-,B,A,A,-,A,B,-,B,-,-,A,A,-,-,B,B,-,B,B,-,B,-,B,-,B,-,-,-,A,B,-,B,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,B,-,-,-,-,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,A,-,B,-,-,-
A7302,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,B,-,A,-,-,-,A,B,-,A,-,B,-,-,B,-,-,-,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,B,B,-,A,A,-,-,-,-,B,B,B,-,-,-,-,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,-,-,B,-,-,-
A2197,A,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,A,B,-,-,B,-,-,-,A,A,-,-,-,-,-,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,B,-,B,-,-,-,A,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,A,-,B,-,-,-
A6889,A,B,-,B,B,A,-,B,-,-,B,-,B,-,B,-,B,-,B,B,-,-,-,B,-,-,-,-,B,B,B,A,-,-,B,-,-,A,B,-,-,B,A,B,-,A,B,-,B,-,A,-,-,B,B,-,-,-,B,-,A,-,A,-,A,B,-,B,-,-,A,A,-,-,B,A,-,B,B,-,B,-,B,-,B,-,-,-,B,B,-,B,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,B,-,-,-,A,B,-,A,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,A,A,-,A,B,-,-,-,-,B,B,B,-,-,-,-,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,A,B,-,A,-,-,A,-,A,-,-,-
A6891,A,B,-,-,B,A,-,B,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,B,B,A,-,-,B,-,-,A,A,-,-,B,A,B,-,A,B,-,B,-,A,A,-,A,B,-,-,-,B,-,A,A,A,-,A,B,-,B,-,-,A,A,-,-,B,A,-,B,B,-,B,-,B,-,B,-,-,-,A,B,-,B,-,-,-,A,-,-,-,A,-,-,A,-,-,-,A,-,B,-,B,-,-,-,A,B,-,A,-,-,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,A,-,A,-,B,-,-,B,-,-,A,A,-,A,B,-,-,-,-,B,B,B,-,-,-,A,-,A,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,A,B,-,A,-,-,A,-,A,-,-,-
A2259,A,B,-,B,-,B,-,-,-,-,B,-,-,-,B,-,B,-,-,-,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,B,-,-,B,A,B,-,-,-,-,B,-,A,-,-,A,B,-,-,-,B,-,-,-,A,-,-,-,-,B,-,-,A,A,-,-,B,A,-,B,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,-,-,A,-,-,-,A,-,-,B,-,-,-,A,-,B,-,B,-,-,-,A,B,-,B,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,B,-,B,-,-,B,-,-,-,A,-,-,B,-,-,-,-,B,B,B,-,-,-,B,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,A,-,-,-,-,A,-,A,-,-,-,A,-,-,-,-,-,B,-,-,-,-,A,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,A,-,A,-,-,-
